N° CAMPAIGN,Prediction (µm),Ground Truth (µm)
1,321.12,332.28
2,345.01,328.00
4,270.03,265.65
6,197.06,196.06
9,203.47,187.55
11,294.20,309.39
13,192.09,211.05
14,354.17,348.10
15,223.22,214.06
16,210.60,108.13
17,191.80,207.00
18,569.54,245.45
23,266.65,280.10
24,272.43,229.87
28,118.71,211.39
32,212.44,198.81
34,120.57,142.61
35,531.21,345.68
36,146.46,128.72
39,286.75,356.42
41,330.73,286.10
42,223.24,203.29
43,214.00,181.90
46,175.74,177.52
47,204.45,213.84
49,198.10,178.52
50,293.28,314.35
52,263.79,224.32
53,179.76,203.42
57,109.55,254.90
58,267.93,267.74
59,289.48,212.81
60,307.21,287.68
61,190.98,236.42
62,255.20,254.90
63,232.41,228.65
64,258.91,204.00
70,161.35,156.97
73,230.14,166.00
79,342.51,335.35
80,369.18,376.16
83,281.31,290.71
87,272.27,197.16
89,317.30,294.16
90,189.19,126.00
91,300.59,489.65
92,91.18,110.41
94,306.09,306.94
97,517.07,489.65
105,679.90,760.94
106,57.21,54.00
108,74.79,44.01
110,234.99,154.77
111,175.42,216.58
112,318.31,274.77
113,294.38,303.10
115,430.95,451.87
117,102.78,112.81
118,336.92,324.35
121,337.11,245.03
123,177.01,149.26
124,200.41,203.81
126,155.52,105.55
127,245.69,221.32
128,281.40,260.32
130,118.51,123.74
132,201.38,250.39
134,134.54,92.39
135,97.86,90.97
136,320.81,320.39
140,184.14,59.77
141,131.88,127.45
145,319.99,370.87
148,183.75,123.03
151,561.10,600.16
152,414.12,421.87
153,63.08,50.68
154,351.72,484.26
156,151.78,96.87
158,177.39,141.00
159,308.10,329.87
160,584.76,608.48
161,104.30,104.90
162,288.78,306.00
164,125.11,150.71
165,321.12,304.81
166,229.76,244.32
167,178.17,145.48
168,449.03,434.61
169,280.67,316.84
172,318.69,393.61
173,179.98,197.26
175,333.82,316.84
176,661.84,680.61
177,601.74,597.68
181,272.77,269.90
182,205.52,201.68
183,314.61,219.65
186,293.99,266.48
189,129.00,172.10
192,88.65,106.32
193,560.45,738.16
194,119.22,90.68
195,327.67,349.61
196,252.31,320.77
197,305.06,360.65
198,609.82,641.13
199,488.33,628.81
200,170.84,186.90
201,243.23,210.52
202,199.38,182.48
204,302.01,343.48
205,201.86,182.03
206,337.70,347.26
207,267.41,265.03
208,472.30,483.26
212,204.36,175.23
215,305.72,518.39
218,140.60,115.94
219,186.87,226.03
222,436.46,210.45
223,588.28,553.84
224,132.83,143.35
225,444.93,518.39
227,270.56,245.45
228,101.40,93.52
230,404.18,421.42
231,232.67,221.39
233,304.92,307.55
239,361.83,274.19
240,340.38,290.74
243,258.82,274.35
244,196.24,173.39
245,301.98,301.87
246,255.97,214.65
247,148.75,153.29
251,309.31,407.00
253,118.54,94.68
254,276.57,228.84
255,87.87,81.00
259,379.35,363.00
260,569.74,547.71
261,509.39,673.39
262,253.17,258.42
264,305.18,313.52
265,199.88,193.97
266,352.60,376.96
269,271.80,202.46
270,57.60,37.87
273,153.42,127.35
274,86.92,103.65
277,132.28,136.42
278,356.45,471.90
279,311.08,270.81
280,256.98,239.81
281,476.56,505.87
282,366.14,356.77
283,352.17,260.65
284,241.75,225.87
285,310.48,272.16
287,292.12,322.94
288,265.10,255.32
289,507.94,548.90
290,447.00,436.60
293,571.49,552.71
294,207.79,184.87
295,289.26,261.35
296,374.12,166.06
298,315.52,356.84
299,289.81,258.03
300,420.67,562.13
302,157.55,123.84
304,232.60,222.06
306,248.63,225.97
307,209.20,104.45
310,107.66,256.16
311,479.92,395.13
312,291.51,256.58
313,254.97,224.35
315,439.04,442.00
316,255.34,256.16
317,251.24,272.77
318,229.42,201.23
319,537.01,525.94
320,407.02,322.06
321,161.42,75.77
323,285.32,232.23
324,134.72,99.26
327,560.30,508.52
328,145.30,76.94
329,702.24,568.00
333,295.18,318.90
334,586.08,562.68
335,110.52,37.00
336,396.35,381.39
337,125.15,134.90
338,105.12,33.00
340,209.86,213.71
341,87.98,88.74
343,216.60,242.23
344,170.84,121.68
345,456.77,192.45
347,585.17,613.55
348,366.29,356.74
349,91.21,80.20
350,218.54,198.52
353,108.74,82.00
355,324.51,309.26
356,262.88,251.06
357,345.03,328.19
358,43.42,41.90
360,106.29,115.48
361,226.29,209.68
362,375.37,368.00
363,39.79,51.94
364,625.03,630.68
367,232.47,230.13
368,335.09,348.74
369,385.65,493.68
372,348.26,340.10
375,369.87,381.68
376,472.75,479.52
377,261.62,250.26
378,223.06,227.16
379,109.52,115.19
382,166.76,159.55
383,146.19,173.03
387,249.20,124.13
389,326.75,161.29
390,96.99,102.29
394,163.41,162.35
395,29.22,112.58
